Term,PMI,DF,DF_in_group,P(term),P(group),"P(term,group)",P(term|group)
girl interracial,4.2000741145395315,290,159,0.0005418170676112967,0.029829832074075736,0.0002970652198282627,0.009958662157083803
black stockings,4.1997130438136425,779,427,0.001455432743686897,0.029829832074075736,0.0007977789236897369,0.026744331704872854
white black,4.194479451903618,130,71,0.000242883513067133,0.029829832074075736,0.00013265176482897263,0.004446949768257547
teenagers big,4.192631013524229,121,66,0.0002260685006240238,0.029829832074075736,0.00012331009124946752,0.004133784291619692
nina rivera,4.191279607429567,178,97,0.0003325635794303821,0.029829832074075736,0.00018122846744239923,0.006075410246774396
orgasm ebony,4.1861528737923095,186,101,0.0003475102571575903,0.029829832074075736,0.00018870180630600332,0.00632594262808468
solo ebony,4.184139582597604,142,77,0.00026530352965794526,0.029829832074075736,0.0001438617731243788,0.004822748340222974
black bull,4.142651235389765,186,98,0.0003475102571575903,0.029829832074075736,0.00018309680215830026,0.006138043342101967
fucking ebony,4.139249806391187,78,41,0.0001457301078402798,0.029829832074075736,7.660172335194195e-05,0.002567956908430415
little black,4.1363625958797385,61,32,0.00011396841766996241,0.029829832074075736,5.978671090883274e-05,0.002004259050482275
black latex,4.134214142041818,63,33,0.00011770508710176445,0.029829832074075736,6.165504562473376e-05,0.002066892145809846
airplane,4.130462295048494,245,128,0.00045774200539575066,0.029829832074075736,0.00023914684363533095,0.0080170362019291
swingers wife,4.126806236075641,71,37,0.00013265176482897263,0.029829832074075736,6.912838448833785e-05,0.0023174245271201303
ass black,4.12542701307981,1018,530,0.0019019647407872416,0.029829832074075736,0.0009902173994275423,0.03319554052361268
black ass,4.11821560941053,610,316,0.001139684176699624,0.029829832074075736,0.0005903937702247233,0.019792058123512465
amateurs black,4.114081680300012,1148,593,0.0021448482538543746,0.029829832074075736,0.0011079224865293068,0.03714142552924966
ebony pretty,4.112903629900338,62,32,0.00011583675238586343,0.029829832074075736,5.978671090883274e-05,0.002004259050482275
horny ebony,4.10104737538805,84,43,0.00015694011613568595,0.029829832074075736,8.0338392783744e-05,0.002693223099085557
threesome black,4.078974232687657,121,61,0.0002260685006240238,0.029829832074075736,0.00011396841766996241,0.0038206188149818364
pie ebony,4.056293487935365,268,133,0.0005007137038614742,0.029829832074075736,0.00024848851721483606,0.008330201678566955
epicafri,4.049066335310696,322,159,0.0006016037785201295,0.029829832074075736,0.0002970652198282627,0.009958662157083803
black hair,4.039310786620866,1258,617,0.002350365072603487,0.029829832074075736,0.0011527625197109313,0.03864461981711136
jamaican,4.03853102258439,153,75,0.00028585521153285656,0.029829832074075736,0.00014012510369257672,0.004697482149567831
daughterinlaw,4.038530943136715,102,50,0.00019057014102190435,0.029829832074075736,9.341673579505115e-05,0.0031316547663785546
woman nasty,4.027571641125327,74,36,0.0001382567689766757,0.029829832074075736,6.726004977243683e-05,0.002254791431792559
zaawaadi,4.024031254504091,68,33,0.00012704676068126956,0.029829832074075736,6.165504562473376e-05,0.002066892145809846
ebony fisting,4.022705846233,66,32,0.00012331009124946752,0.029829832074075736,5.978671090883274e-05,0.002004259050482275
foxxedup,4.022705846233,66,32,0.00012331009124946752,0.029829832074075736,5.978671090883274e-05,0.002004259050482275
foxxedup hd,4.021296264499997,64,31,0.00011957342181766547,0.029829832074075736,5.7918376192931715e-05,0.0019416259551547038
big ebony,4.0190058463810026,122,59,0.00022793683533992482,0.029829832074075736,0.00011023174823816036,0.0036953526243266943
superhotfilms,4.017631384513306,89,43,0.00016628178971519106,0.029829832074075736,8.0338392783744e-05,0.002693223099085557
booty black,4.0118177156072825,133,64,0.00024848851721483606,0.029829832074075736,0.00011957342181766547,0.00400851810096455
masturbation black,4.010957070290949,131,63,0.000244751847783034,0.029829832074075736,0.00011770508710176445,0.003945885005636978
filma,4.008206401847669,100,48,0.0001868334715901023,0.029829832074075736,8.96800663632491e-05,0.003006388575723412
chocolate ebony,4.008206320922583,75,36,0.00014012510369257672,0.029829832074075736,6.726004977243683e-05,0.002254791431792559
ebony big,4.000121610014358,1014,484,0.0018944914019236375,0.029829832074075736,0.0009042740024960952,0.030314418138544408
black pornstar,3.998387301423417,86,41,0.000160676785567488,0.029829832074075736,7.660172335194195e-05,0.002567956908430415
hot ebony,3.9957156167723764,290,138,0.0005418170676112967,0.029829832074075736,0.00025783019079434117,0.00864336715520481
black porn,3.995309532826553,206,98,0.00038487695147561074,0.029829832074075736,0.00018309680215830026,0.006138043342101967
blowjob black,3.96980306646799,368,172,0.0006875471754515765,0.029829832074075736,0.000321353571134976,0.010772892396342227
slim ebony,3.965001995569437,161,75,0.00030080188926006474,0.029829832074075736,0.00014012510369257672,0.004697482149567831
anal black,3.962763533012657,172,80,0.000321353571134976,0.029829832074075736,0.00014946677727208186,0.005010647626205687
amateur black,3.9590654407218318,1289,598,0.0024082834487964186,0.029829832074075736,0.0011172641601088118,0.03745459100588751
tori black,3.956676089045717,95,44,0.0001774917980105972,0.029829832074075736,8.220672749964502e-05,0.002755856194413128
talk ebony,3.9542060168816344,93,43,0.00017375512857879515,0.029829832074075736,8.0338392783744e-05,0.002693223099085557
cartoon ebony,3.951622743746143,65,30,0.0001214417565335665,0.029829832074075736,5.605004147703069e-05,0.0018789928598271326
horny black,3.951622743746143,65,30,0.0001214417565335665,0.029829832074075736,5.605004147703069e-05,0.0018789928598271326
