Group,AdjustedRate,Gap_vs_Priv,threshold
Asian Women,0.22737742678512668,-0.025490143600691906,0.475
Black Women,0.21735045411838397,-0.03551711626743462,0.475
Latina Women,0.2594171997157072,0.006549629329888618,0.475
Other,0.24524108923770704,-0.007626481148111541,0.475
White Women,0.2528675703858186,0.0,0.475
Asian Women,0.22178348140835802,-0.02812962251934445,0.48
Black Women,0.21296586282492955,-0.03694724110277292,0.48
Latina Women,0.255863539445629,0.005950435517926539,0.48
Other,0.24150117075708957,-0.008411933170612895,0.48
White Women,0.24991310392770247,0.0,0.48
Asian Women,0.21717670286278382,-0.028217805305446986,0.485
Black Women,0.20670216097713748,-0.038692347191093324,0.485
Latina Women,0.24662402274342574,0.0012295145751949343,0.485
Other,0.23609183938947187,-0.009302668778758932,0.485
White Women,0.2453945081682308,0.0,0.485
Asian Women,0.21388614675880224,-0.028380102806717405,0.49
Black Women,0.20325712496085185,-0.039009124604667794,0.49
Latina Women,0.24058280028429282,-0.0016834492812268231,0.49
Other,0.23260124880756222,-0.009665000757957426,0.49
White Women,0.24226624956551965,0.0,0.49
Asian Women,0.20697597894044092,-0.029728921998036645,0.495
Black Women,0.19668023802067022,-0.040024662917807347,0.495
Latina Women,0.23312011371712865,-0.0035847872213489174,0.495
Other,0.2272352788136328,-0.009469622124844757,0.495
White Women,0.23670490093847757,0.0,0.495
Asian Women,0.20533070088845015,-0.02772456501353107,0.5
Black Women,0.1938615721891638,-0.03919369371281742,0.5
Latina Women,0.22885572139303484,-0.0041995445089463845,0.5
Other,0.22338695689879456,-0.00966830900318666,0.5
White Women,0.23305526590198122,0.0,0.5
Asian Women,0.20006581112207963,-0.02829706687583486,0.505
Black Women,0.18853742561854056,-0.03982545237937393,0.505
Latina Women,0.2224591329068941,-0.0059037450910204015,0.505
Other,0.21758737316798196,-0.01077550482993253,0.505
White Women,0.2283628779979145,0.0,0.505
Asian Women,0.19545903257650543,-0.029949378963292972,0.51
Black Women,0.18290009395552773,-0.04250831758427068,0.51
Latina Women,0.21890547263681592,-0.00650293890298248,0.51
Other,0.213782412626832,-0.011625998912966395,0.51
White Women,0.2254084115397984,0.0,0.51
